"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",NA,147362,"Harvard University"
"Biological Sciences","Neurobiology and Neurosciences.",46993,75342,"Harvard University"
"Biological Sciences","Biology, General.",NA,82813,"Massachusetts Institute of Technology"
"Biological Sciences","Biology, General.",NA,115925,"Massachusetts Institute of Technology"
"Biological Sciences","Biology, General.",34500,69997,"Cornell University"
"Biological Sciences","Biomathematics, Bioinformatics, and Computational Biology.",78358,152425,"Cornell University"
"Biological Sciences","Biological and Biomedical Sciences, Other.",38841,85225,"Cornell University"
"Biological Sciences","Biology, General.",31055,78245,"University of Pennsylvania"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",75452,85478,"University of Pennsylvania"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",185874,181545,"University of Pennsylvania"
"Biological Sciences","Neurobiology and Neurosciences.",39880,94630,"University of Pennsylvania"
"Biological Sciences","Biology, General.",NA,76182,"Stanford University"
"Psychology","Psychology, General.",30614,65954,"UCLA"
"Psychology","Psychology, General.",62453,93867,"UCLA"
"Psychology","Research and Experimental Psychology.",27748,78384,"UCLA"
"Psychology","Psychology, General.",NA,72810,"University of California-Berkeley"
"Psychology","Psychology, General.",NA,70596,"University of Chicago"
"Psychology","Research and Experimental Psychology.",31986,84957,"University of Chicago"
"Psychology","Research and Experimental Psychology.",41501,102305,"Harvard University"
"Psychology","Psychology, General.",36630,77682,"Cornell University"
"Psychology","Psychology, General.",NA,65013,"University of Pennsylvania"
"Psychology","Clinical, Counseling and Applied Psychology.",52641,64157,"University of Pennsylvania"
"Psychology","Psychology, General.",NA,63396,"Stanford University"
"Visual & Performing Arts","Design and Applied Arts.",57615,85813,"UCLA"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",19673,28993,"UCLA"
"Visual & Performing Arts","Film/Video and Photographic Arts.",29696,66565,"UCLA"
"Visual & Performing Arts","Film/Video and Photographic Arts.",39954,67538,"UCLA"
"Visual & Performing Arts","Fine and Studio Arts.",21220,46122,"UCLA"
"Visual & Performing Arts","Fine and Studio Arts.",NA,62398,"UCLA"
"Visual & Performing Arts","Music.",22125,50858,"UCLA"
"Visual & Performing Arts","Music.",15520,28799,"UCLA"
"Visual & Performing Arts","Music.",NA,77654,"UCLA"
"Visual & Performing Arts","Film/Video and Photographic Arts.",29011,38182,"University of California-Berkeley"
"Visual & Performing Arts","Fine and Studio Arts.",20368,58001,"University of California-Berkeley"
"Visual & Performing Arts","Drama/Theatre Arts and Stagecraft.",NA,44472,"Yale University"
"Visual & Performing Arts","Fine and Studio Arts.",24521,31040,"Yale University"
"Visual & Performing Arts","Fine and Studio Arts.",31073,73168,"Cornell University"
"Visual & Performing Arts","Fine and Studio Arts.",38820,50835,"University of Pennsylvania"
"Visual & Performing Arts","Fine and Studio Arts.",30417,38672,"University of Pennsylvania"
