"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Engineering","Biomedical/Medical Engineering.",68419,105286,"University of California-Davis"
"Engineering","Chemical Engineering.",68337,109456,"University of California-Davis"
"Engineering","Civil Engineering.",75165,98091,"University of California-Davis"
"Engineering","Civil Engineering.",86909,101971,"University of California-Davis"
"Engineering","Computer Engineering.",96418,146640,"University of California-Davis"
"Engineering","Mechanical Engineering.",75231,99885,"University of California-Davis"
"Engineering","Mechanical Engineering.",94624,112967,"University of California-Davis"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",67425,102765,"University of California-Irvine"
"Engineering","Biomedical/Medical Engineering.",67170,109350,"University of California-Irvine"
"Engineering","Chemical Engineering.",57540,102280,"University of California-Irvine"
"Engineering","Civil Engineering.",73835,94661,"University of California-Irvine"
"Engineering","Computer Engineering.",79812,115244,"University of California-Irvine"
"Engineering","Electrical, Electronics and Communications Engineering.",80412,103261,"University of California-Irvine"
"Engineering","Mechanical Engineering.",67633,95534,"University of California-Irvine"
"Engineering","Mechanical Engineering.",NA,142294,"University of California-Irvine"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",65401,107359,"University of California-San Diego"
"Engineering","Biomedical/Medical Engineering.",65045,118528,"University of California-San Diego"
"Engineering","Biomedical/Medical Engineering.",100166,141614,"University of California-San Diego"
"Engineering","Biomedical/Medical Engineering.",NA,135080,"University of California-San Diego"
"Engineering","Chemical Engineering.",59508,97911,"University of California-San Diego"
"Engineering","Civil Engineering.",65478,91984,"University of California-San Diego"
"Engineering","Civil Engineering.",89543,100777,"University of California-San Diego"
"Engineering","Computer Engineering.",96256,154498,"University of California-San Diego"
"Engineering","Computer Engineering.",NA,206109,"University of California-San Diego"
"Engineering","Electrical, Electronics and Communications Engineering.",80687,120436,"University of California-San Diego"
"Engineering","Electrical, Electronics and Communications Engineering.",111009,141515,"University of California-San Diego"
"Engineering","Mechanical Engineering.",69555,99554,"University of California-San Diego"
"Engineering","Engineering, Other.",56522,94292,"University of California-San Diego"
"Engineering","Chemical Engineering.",79737,104039,"University of California-Santa Barbara"
"Engineering","Computer Engineering.",91387,139942,"University of California-Santa Barbara"
"Engineering","Electrical, Electronics and Communications Engineering.",NA,108865,"University of California-Santa Barbara"
"Engineering","Mechanical Engineering.",81108,100669,"University of California-Santa Barbara"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",70760,100208,"University of Florida"
"Engineering","Biomedical/Medical Engineering.",NA,102292,"University of Florida"
"Engineering","Chemical Engineering.",87164,104630,"University of Florida"
"Engineering","Civil Engineering.",72889,87493,"University of Florida"
"Engineering","Civil Engineering.",75768,100137,"University of Florida"
"Engineering","Computer Engineering.",87949,114942,"University of Florida"
"Engineering","Computer Engineering.",NA,134558,"University of Florida"
"Engineering","Electrical, Electronics and Communications Engineering.",85243,104143,"University of Florida"
"Engineering","Environmental/Environmental Health Engineering.",62480,74218,"University of Florida"
"Engineering","Environmental/Environmental Health Engineering.",82095,96604,"University of Florida"
"Engineering","Materials Engineering",79200,86081,"University of Florida"
"Engineering","Mechanical Engineering.",76228,94291,"University of Florida"
"Engineering","Mechanical Engineering.",85272,102878,"University of Florida"
"Engineering","Mechanical Engineering.",92933,122443,"University of Florida"
"Engineering","Nuclear Engineering.",NA,112160,"University of Florida"
"Engineering","Systems Engineering.",85698,108020,"University of Florida"
"Engineering","Systems Engineering.",107972,138498,"University of Florida"
"Engineering","Biological/Biosystems Engineering.",46917,75981,"University of Florida"
"Engineering","Agricultural Engineering.",NA,89250,"University of Georgia"
"Engineering","Engineering, General.",NA,97866,"University of Illinois Urbana-Champaign"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",75859,109503,"University of Illinois Urbana-Champaign"
"Engineering","Agricultural Engineering.",62032,87830,"University of Illinois Urbana-Champaign"
"Engineering","Biomedical/Medical Engineering.",71485,103191,"University of Illinois Urbana-Champaign"
