"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Nursing","Health Professions and Related Clinical Sciences, Other.",NA,78795,"Azusa Pacific University"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",86312,90276,"Bakersfield College"
"Nursing","Communication Disorders Sciences and Services.",NA,76744,"Biola University"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",93629,88061,"Biola University"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",NA,80487,"Butte College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",65853,81627,"Butte College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",104268,109054,"Butte College"
"Nursing","Alternative and Complementary Medicine and Medical Systems.",NA,38512,"California Institute of Integral Studies"
"Nursing","Allied Health and Medical Assisting Services.",37279,35217,"Cabrillo College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",NA,107738,"Cabrillo College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",91090,135694,"Cabrillo College"
"Nursing","Health Services/Allied Health/Health Sciences, General.",31550,67570,"California Baptist University"
"Nursing","Communication Disorders Sciences and Services.",38559,53473,"California Baptist University"
"Nursing","Health and Medical Administrative Services.",NA,53477,"California Baptist University"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",95454,65082,"California Baptist University"
"Nursing","Public Health.",46263,49280,"California Baptist University"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",92441,101705,"California Baptist University"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",115491,143804,"California Baptist University"
"Nursing","Mental and Social Health Services and Allied Professions.",50691,63049,"California Lutheran University"
"Nursing","Mental and Social Health Services and Allied Professions.",53383,67664,"Alliant International University-San Diego"
"Nursing","Mental and Social Health Services and Allied Professions.",86930,93014,"Alliant International University-San Diego"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,111384,"California State University-Bakersfield"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",119356,122838,"California State University-Stanislaus"
"Nursing","Health Services/Allied Health/Health Sciences, General.",36494,53700,"California State University-San Bernardino"
"Nursing","Health and Medical Administrative Services.",37007,51257,"California State University-San Bernardino"
"Nursing","Rehabilitation and Therapeutic Professions.",50998,65636,"California State University-San Bernardino"
"Nursing","Dietetics and Clinical Nutrition Services.",25659,44494,"California State University-San Bernardino"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",93142,109558,"California State University-San Bernardino"
"Nursing","Dietetics and Clinical Nutrition Services.",NA,54979,"California State Polytechnic University-Pomona"
"Nursing","Health Services/Allied Health/Health Sciences, General.",40057,56376,"California State University-Chico"
"Nursing","Communication Disorders Sciences and Services.",29297,61935,"California State University-Chico"
"Nursing","Communication Disorders Sciences and Services.",73232,80364,"California State University-Chico"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",113181,120599,"California State University-Chico"
"Nursing","Health and Medical Administrative Services.",44584,55431,"California State University-Dominguez Hills"
"Nursing","Clinical/Medical Laboratory Science/Research and Allied Professions.",44374,126318,"California State University-Dominguez Hills"
"Nursing","Rehabilitation and Therapeutic Professions.",74937,88459,"California State University-Dominguez Hills"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",110626,122899,"California State University-Dominguez Hills"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",128758,148290,"California State University-Dominguez Hills"
"Nursing","Health Professions and Related Clinical Sciences, Other.",37856,48649,"California State University-Dominguez Hills"
"Nursing","Health Professions and Related Clinical Sciences, Other.",47237,84529,"California State University-Dominguez Hills"
"Nursing","Health Services/Allied Health/Health Sciences, General.",43134,55153,"California State University-Fresno"
"Nursing","Communication Disorders Sciences and Services.",22463,62131,"California State University-Fresno"
"Nursing","Communication Disorders Sciences and Services.",79189,83488,"California State University-Fresno"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",34810,67296,"California State University-Fresno"
"Nursing","Mental and Social Health Services and Allied Professions.",27228,49029,"California State University-Fresno"
"Nursing","Mental and Social Health Services and Allied Professions.",63778,75653,"California State University-Fresno"
"Nursing","Public Health.",34948,46012,"California State University-Fresno"
"Nursing","Rehabilitation and Therapeutic Professions.",56219,65929,"California State University-Fresno"
"Nursing","Rehabilitation and Therapeutic Professions.",88276,100640,"California State University-Fresno"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",96890,113245,"California State University-Fresno"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",146559,131856,"California State University-Fresno"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",173047,174221,"California State University-Fresno"
"Nursing","Health Services/Allied Health/Health Sciences, General.",35563,58041,"California State University-Fullerton"
"Nursing","Communication Disorders Sciences and Services.",24594,65573,"California State University-Fullerton"
"Nursing","Communication Disorders Sciences and Services.",76358,87239,"California State University-Fullerton"
"Nursing","Mental and Social Health Services and Allied Professions.",54472,74109,"California State University-Fullerton"
"Nursing","Public Health.",62000,70232,"California State University-Fullerton"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",103028,116259,"California State University-Fullerton"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",193133,176728,"California State University-Fullerton"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",172766,210792,"California State University-Fullerton"
"Nursing","Health Services/Allied Health/Health Sciences, General.",42602,64973,"California State University-East Bay"
"Nursing","Communication Disorders Sciences and Services.",34924,75421,"California State University-East Bay"
"Nursing","Communication Disorders Sciences and Services.",74772,85654,"California State University-East Bay"
"Nursing","Health and Medical Administrative Services.",75785,91652,"California State University-East Bay"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",124392,160918,"California State University-East Bay"
"Nursing","Communication Disorders Sciences and Services.",29270,66231,"California State University-Long Beach"
