"6_yr_median_earnings","10_yr_median_earnings","school_name","unitid","total_enrollment"
30023,38493,Reedley College,117052,7086
35814,43299,Life Pacific University,117104,500
53806,65464,University of La Verne,117140,5662
31987,47867,Laguna College of Art and Design,117168,760
30695,36657,Lake Tahoe Community College,117195,2519
13338,16220,Lancaster Beauty School,117238,66
30777,37282,Laney College,117247,9653
35316,35994,Lassen Community College,117274,1694
0,0,Latin American Bible Institute,117283,45
0,0,Life Chiropractic College West,117520,587
44602,53695,Lincoln University,117557,377
43014,39607,Southern California Seminary,117575,153
42617,61824,La Sierra University,117627,1614
88185,89816,Loma Linda University,117636,4280
31118,38870,Long Beach City College,117645,22402
33761,70649,Southern California University of Health Sciences,117672,1636
31241,41133,Los Angeles Harbor College,117690,7384
33606,44521,Los Angeles Pierce College,117706,15372
28065,32172,Los Angeles Southwest College,117715,4913
31801,35233,Los Angeles Trade Technical College,117724,10377
33987,42678,Los Angeles Valley College,117733,15037
41665,57106,The Master's University and Seminary,117751,2606
28854,36190,Los Angeles City College,117788,13199
106781,115318,Los Angeles County College of Nursing and Allied Health,117803,195
34437,39834,Los Angeles Mission College,117867,9283
35606,42454,Los Medanos College,117894,7791
62763,78349,Loyola Marymount University,117946,10165
22250,23148,Lu Ross Academy,117955,263
12878,25913,Lyle's College of Beauty,118134,90
12878,25913,Lyle's College of  Beauty,118143,88
23192,20358,Lytles Redwood Empire Beauty College,118161,117
36376,45328,MTI College,118198,952
35698,42654,College of Marin,118347,4283
33313,40243,Mendocino College,118684,3554
60608,76419,Menlo College,118693,800
31468,37815,Merced College,118718,10214
36329,44392,Merritt College,118772,6514
78413,92538,Northeastern University Oakland,118888,
37965,43845,MiraCosta College,118912,10860
44004,50936,Mission College,118930,5747
21766,22477,Modern Beauty Academy,118958,63
34568,42368,Modesto Junior College,118976,16224
19893,15204,Moler Barber College,118994,398
57291,76310,Middlebury Institute of International Studies at Monterey,119058,657
34496,42176,Monterey Peninsula College,119067,6514
37374,49044,Moorpark College,119137,12484
34928,46283,Mt San Antonio College,119164,26256
61335,72379,Mount Saint Mary's University,119173,2435
31078,38319,Mt San Jacinto Community College District,119216,15153
24962,32778,Musicians Institute,119270,851
40426,49517,Napa Valley College,119331,4134
24737,27978,National Holistic Institute,119553,1198
64331,67548,National University,119605,18631
0,0,Naval Postgraduate School,119678,2670
57073,68891,Newschool of Architecture and Design,119775,294
16629,27269,North Adrian's College of Beauty Inc,119951,193
36175,39876,North-West College-Pomona,120069,333
33145,37542,North-West College-West Covina,120078,625
32876,32488,North-West College-Van Nuys,120087,231
0,0,San Francisco Bay University,120166,164
57676,74576,Notre Dame de Namur University,120184,201
52209,75951,Occidental College,120254,1942
45622,54278,Ohlone College,120290,8358
35739,47348,Orange Coast College,120342,16615
43654,58152,Otis College of Art and Design,120403,1312
34643,41393,Oxnard College,120421,6339
36030,49697,Hope International University,120537,1116
39255,39169,Concorde Career College-San Diego,120661,730
63310,83187,Palo Alto University,120698,1149
47962,52485,Pacific Oaks College,120768,1068
0,0,Pacific School of Religion,120795,109
0,0,Pacific States University,120838,17
52713,70484,Pacific Union College,120865,870
62672,78445,University of the Pacific,120883,6277
30602,36389,Palo Verde College,120953,4639
37220,42300,Palomar College,120971,17655
32759,43937,Pasadena City College,121044,21923
64934,82939,Pepperdine University,121150,10030
51784,69512,Pitzer College,121257,1212
54811,63998,Point Loma Nazarene University,121309,4319
60850,77779,Pomona College,121345,1716
30202,36328,Porterville College,121363,4113
20634,16886,Professional Institute of Beauty,121433,119
36845,43552,Santa Ana College,121619,23852
0,0,Pardee RAND Graduate School,121628,126
16216,0,Shasta School of Cosmetology,121637,119
61686,72690,University of Redlands,121691,3460
31896,36243,College of the Redwoods,121707,4006
20927,26956,Salon Success Academy-Upland,121859,253
18725,22412,Salon Success Academy-Corona,121868,236
35115,44950,Rio Hondo College,121886,16139
32779,41091,Riverside City College,121901,19147
0,0,Dongguk University Los Angeles,122117,94
32703,42214,Sacramento City College,122180,17719
36605,50874,Saddleback College,122205,16660
143353,143238,Samuel Merritt University,122296,1911
31504,38503,San Diego City College,122339,12144
35773,45120,San Diego Mesa College,122375,18076
40327,48224,San Diego Miramar College,122384,13062
52620,64909,San Diego State University,122409,37402
64995,86522,University of San Diego,122436,8815
23988,0,San Francisco Conservatory of Music,122506,437
52650,68077,San Francisco State University,122597,25282
69951,89812,University of San Francisco,122612,9688
0,0,San Joaquin College of Law,122649,145
33920,43212,San Joaquin Delta College,122658,16168
36007,38317,San Joaquin Valley College-Visalia,122685,2265
36007,38317,San Joaquin Valley College-Bakersfield,122694,831
43163,56257,William Jessup University,122728,1624
39993,46215,San Jose City College,122746,7561
62448,78988,San Jose State University,122755,35751
43803,54172,College of San Mateo,122791,7512
35744,47647,Santa Barbara City College,122889,12413
91198,109183,Santa Clara University,122931,9178
31977,42193,Santa Monica College,122977,22375
40149,47224,Santa Rosa Junior College,123013,15552
0,0,Saybrook University,123095,1013
68027,77539,Scripps College,123165,1100
31439,39092,College of the Sequoias,123217,13170
32327,28891,Shasta Bible College and Graduate School,123280,33
32486,39269,Shasta College,123299,7363
35054,45294,Sierra College,123341,15766
21701,18519,Sierra College of Beauty,123350,157
41545,46989,Trinity Law School,123448,382
51256,54340,Simpson University,123457,874
34686,39098,College of the Siskiyous,123484,1204
38231,41047,Charles A Jones Career and Education Center,123493,98
41261,55702,Skyline College,123509,8523
32980,39676,San Bernardino Valley College,123527,10767
60388,78812,Saint Mary's College of California,123554,2765
35071,44170,Solano Community College,123563,8426
52179,65986,Sonoma State University,123572,6637
0,0,South Baylo University,123633,188
38599,44897,South Coast College,123642,237
43464,59541,Vanguard University of Southern California,123651,2256
42232,45711,Concorde Career College-Garden Grove,123679,803
33970,40060,Southwestern College,123800,16530
0,0,Starr King School for the Ministry,123916,85
0,0,Marshall B Ketchum University,123943,685
53274,71909,Southern California Institute of Architecture,123952,507
74461,92498,University of Southern California,123961,48945
0,0,Southwestern Law School,123970,927
33687,38861,Taft College,124113,4508
0,0,Claremont School of Theology,124283,196
40605,55619,Thomas Aquinas College,124292,516
33779,37822,Epic Bible College & Graduate School,124487,114
29172,31141,UEI College-Huntington Park,124681,1173
36222,39993,Concorde Career College-San Bernardino,124706,825
41796,50552,Concorde Career College-North Hollywood,124937,676
34084,43430,Ventura College,125028,10559
0,0,The Colleges of Law at Ventura,125037,255
17272,17287,Bridges Beauty College,125082,86
30153,36119,Victor Valley College,125091,12648
35404,41217,Berkeley City College,125170,6122
50657,42810,Walden University,125231,42312
19047,0,Waynes College of Beauty,125310,42
33449,37633,Coalinga College,125462,3061
32538,38537,West Los Angeles College,125471,8656
41764,51688,West Valley College,125499,6513
37870,39633,Carrington College-Sacramento,125532,1837
0,0,Westminster Theological Seminary in California,125718,101
53737,64778,Westmont College,125727,1284
46025,59492,Whittier College,125763,1192
47665,65668,Woodbury University,125897,943
0,0,The Wright Institute,126012,520
0,0,Thomas Jefferson School of Law,126049,271
17439,48361,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,126076,142
32030,39552,Yuba College,126119,5401
38338,44372,Adams State University,126182,2854
39696,41887,Aims Community College,126207,7178
43676,48341,Arapahoe Community College,126289,12636
37156,39506,Bel-Rea Institute of Animal Technology,126359,205
52475,64270,University of Colorado Denver/Anschutz Medical Campus,126562,23744
45766,54659,University of Colorado Colorado Springs,126580,11431
55728,59093,Spartan College of Aeronautics and Technology,126605,284
54939,69738,University of Colorado Boulder,126614,39585
41623,50416,Colorado Christian University,126669,8964
47611,65222,Colorado College,126678,2203
40181,42456,Concorde Career College-Aurora,126687,731
36307,44127,Colorado Mountain College,126711,5184
39760,43526,Colorado Northwestern Community College,126748,1179
82950,97335,Colorado School of Mines,126775,7403
44718,51591,Colorado School of Trades,126784,130
49748,60543,Colorado State University-Fort Collins,126818,33403
30406,37180,Colorado Technical University-Colorado Springs,126827,24808
38842,44592,Community College of Aurora,126863,8343
38763,45516,Technical College of the Rockies,126915,261
36412,39095,Community College of Denver,126942,7292
42500,46396,Lincoln College of Technology-Denver,126951,1155
0,0,Denver Seminary,126979,874
57118,71155,University of Denver,127060,13734
31296,35487,Emily Griffith Technical College,127158,5313
36352,46349,Fort Lewis College,127185,3400
40548,45910,Front Range Community College,127200,19449
0,0,Iliff School of Theology,127273,185
23478,22332,International Salon and Spa Academy,127316,313
31813,38719,Lamar Community College,127389,668
39223,45823,Colorado Mesa University,127556,8905
45391,52093,Metropolitan State University of Denver,127565,16995
37293,39429,Morgan Community College,127617,1462
21841,28720,Naropa University,127653,1065
37119,41450,Nazarene Bible College,127714,566
36367,39893,Northeastern Junior College,127732,1446
43756,52231,University of Northern Colorado,127741,9380
34087,39018,Otero College,127778,999
35799,40796,Pikes Peak State College,127820,11899
33368,37434,Pueblo Community College,127884,6481
41495,46288,Red Rocks Community College,127909,6470
64557,72105,Regis University,127918,4668
30280,42958,Rocky Mountain College of Art and Design,127945,2050
24368,44643,Montessori Education Center of the Rockies,127954,45
43053,55563,Colorado State University Pueblo,128106,6617
36111,39210,Pickens Technical College,128151,941
36848,42169,Intellitec College-Colorado Springs,128179,691
29621,31541,Intellitec College-Grand Junction,128188,1105
36025,36475,Trinidad State College,128258,1505
0,0,United States Air Force Academy,128328,4085
19174,24397,Empire Beauty School-Thornton,128337,81
40037,46833,Western Colorado University,128391,3548
47153,60144,Albertus Magnus College,128498,1275
0,0,Bais Binyomin Academy,128586,60
38575,50323,University of Bridgeport,128744,3988
49016,58562,Central Connecticut State University,128771,9468
53779,64209,Charter Oak State College,128780,1602
25386,34866,Cortiva Institute,128896,202
49165,75001,Connecticut College,128902,1948
41103,42914,Porter & Chester Institute of Hamden,129002,426
63322,73997,University of Connecticut,129020,27003
40230,43596,Goodwin University,129154,3158
36485,38683,Lincoln Technical Institute-East Windsor,129181,973
47289,56469,Eastern Connecticut State University,129215,4082
73693,88794,Fairfield University,129242,6019
0,30900,Paul Mitchell the School-North Haven,129349,161
35849,41344,Connecticut State Community College,129367,2395
83054,102051,Rensselaer at Hartford,129428,115
25543,28710,American Institute-West Hartford,129482,369
0,0,Hartford International University for Religion and Peace,129491,92
42581,60823,University of Hartford,129525,5732
0,0,Holy Apostles College and Seminary,129534,719
35330,39115,Mitchell College,129774,539
36485,38683,Lincoln Technical Institute-New Britain,129923,638
46838,44444,New England Tractor Trailer Training School of Connecticut,129932,314
49829,60126,University of New Haven,129941,8819
0,0,Paier College,130110,221
37807,41588,Porter & Chester Institute,130174,2146
31401,38696,Post University,130183,17034
65744,83759,Quinnipiac University,130226,8788
63925,75059,Sacred Heart University,130253,10721
52053,59908,University of Saint Joseph,130314,1992
45422,55043,Southern Connecticut State University,130493,8889
67628,90779,Trinity College,130590,2205
0,0,United States Coast Guard Academy,130624,1037
60385,73897,Wesleyan University,130697,3253
45997,59115,Western Connecticut State University,130776,4417
81765,100533,Yale University,130794,14776
0,72380,Margaret H Rollins School of Nursing at Beebe Medical Center,130837,51
27702,30429,Dawn Career Institute LLC,130873,308
35336,41448,Delaware Technical Community College-Terry,130907,11726
37503,49307,Delaware State University,130934,5826
58846,72950,University of Delaware,130943,24039
45097,59892,Goldey-Beacom College,130989,1012
25058,27420,Schilling-Douglas School of Hair Design,131061,185
49635,53844,Wilmington University,131113,14020
61328,77370,American University,131159,13885
63217,73250,The Catholic University of America,131283,4968
36358,44236,University of the District of Columbia,131399,3577
0,0,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,131405,73
36578,43101,Gallaudet University,131450,1322
71607,90873,George Washington University,131469,25939
83222,103494,Georgetown University,131496,20984
47379,63066,Howard University,131520,12886
36582,40092,Strayer University-District of Columbia,131803,362
0,0,National Conservatory of Dramatic Arts,131830,18
38533,53804,Trinity Washington University,131876,1895
0,0,Wesley Theological Seminary,131973,454
37819,38560,Atlantic Technical College,132374,2832
31489,42836,Baptist University of Florida,132408,410
47637,55966,Barry University,132471,6958
